Date,p (psia),Np (STB),Gp (SCF),Wp (STB),Gi (SCF),Wi (STB),Rp (SCF/STB),Bo (RB/STB),Bg (RB/SCF),Rs (SCF/STB),Rv (STB/SCF)
2015-09-01,4992.05,60036100,49623500000,82661200.0,0,172417000,826.56,1.3015584933062354,0.0009325948470732762,627.7110850725221,0.0
2015-10-01,4985.67,60398900,49935400000,83863800.0,0,174116000,826.7610000000001,1.3016578897881077,0.0009334458476330198,627.7110850725221,0.0
2015-11-01,5017.29,60779200,50264000000,85154400.0,0,175972000,826.993,1.3011654660418492,0.0009292520244223325,627.7110850725221,0.0
2015-12-01,5023.38,61155400,50589200000,86451000.0,0,177849000,827.2239999999999,1.3010706410373105,0.0009284510330353899,627.7110850725221,0.0
2016-01-01,5039.77,61479800,50875900000,87845900.0,0,179739000,827.5219999999999,1.3008153505141231,0.0009263058209052793,627.7110850725221,0.0
2016-02-01,5036.0,61777700,51141000000,89167000.0,0,181703000,827.823,1.3008740884638679,0.0009267979115025789,627.7110850725221,0.0
2016-03-01,5098.37,62046900,51385900000,90636900.0,0,183470000,828.178,1.2998987832497235,0.0009187609317632212,627.7110850725221,0.0
2016-04-01,5070.37,62250100,51573600000,91891600.0,0,184981000,828.49,1.3003379468279768,0.0009223415371349929,627.7110850725221,0.0
2016-05-01,5122.26,62495600,51792100000,93205800.0,0,186675000,828.7330000000001,1.2995247790392026,0.0009157415374338401,627.7110850725221,0.0
2016-06-01,5187.3,62719800,51995800000,94479100.0,0,188293000,829.0169999999999,,0.000907689117369413,627.7110850725221,0.0
2016-07-01,5233.98,62915200,52172900000,95413400.0,0,189538000,829.258,,0.0009020627518830677,627.7110850725221,0.0
2016-08-01,5273.87,63072100,52314600000,96049100.0,0,190371000,829.441,,0.0008973561833946565,627.7110850725221,0.0
2016-09-01,4987.97,63126300,52366400000,96343300.0,0,190756000,829.55,1.301622053326766,0.0009331387757835184,627.7110850725221,0.0
2016-10-01,4815.37,63126300,52366400000,96343300.0,0,190756000,829.55,1.304343387089667,0.0009571614656250583,627.7110850725221,0.0
2016-11-01,4815.37,63126300,52366400000,96343300.0,0,190756000,829.55,1.304343387089667,0.0009571614656250583,627.7110850725221,0.0
2016-12-01,4815.37,63126300,52366400000,96343300.0,0,190756000,829.55,1.304343387089667,0.0009571614656250583,627.7110850725221,0.0
